float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,91.61,
q43,4,3,2,91.01,
q43,4,3,3,91.30,
q43,4,3,4,91.28,
q43,4,3,5,91.29,
q43,4,3,6,91.24,
q52,5,2,1,91.30,
q52,5,2,2,91.16,
q52,5,2,3,91.07,
q52,5,2,4,91.19,
q52,5,2,5,90.98,
q52,5,2,6,90.93,
"custom(5, 5)",5,5,1,91.40,
"custom(5, 5)",5,5,2,91.21,
"custom(5, 5)",5,5,3,91.34,
"custom(5, 5)",5,5,4,91.54,
"custom(5, 5)",5,5,5,91.31,
"custom(5, 5)",5,5,6,91.26,
"custom(5, 7)",5,7,1,91.40,
"custom(5, 7)",5,7,2,91.16,
"custom(5, 7)",5,7,3,91.46,
"custom(5, 7)",5,7,4,91.29,
"custom(5, 7)",5,7,5,91.17,
"custom(5, 7)",5,7,6,91.31,
"custom(8, 4)",8,4,1,91.56,
"custom(8, 4)",8,4,2,91.35,
"custom(8, 4)",8,4,3,91.10,
"custom(8, 4)",8,4,4,91.38,
"custom(8, 4)",8,4,5,91.27,
"custom(8, 4)",8,4,6,91.37,
half,5,10,1,91.34,
half,5,10,2,91.20,
half,5,10,3,91.37,
half,5,10,4,91.23,
half,5,10,5,91.35,
half,5,10,6,91.16,
bfloat16,8,7,1,91.24,
bfloat16,8,7,2,91.08,
bfloat16,8,7,3,91.40,
bfloat16,8,7,4,91.16,
bfloat16,8,7,5,91.53,
bfloat16,8,7,6,91.28,
tf32,8,10,1,91.10,
tf32,8,10,2,91.43,
tf32,8,10,3,91.15,
tf32,8,10,4,91.40,
tf32,8,10,5,91.09,
tf32,8,10,6,91.20,
fp32,8,23,1,91.27,
fp32,8,23,2,91.35,
fp32,8,23,3,91.31,
fp32,8,23,4,91.19,
fp32,8,23,5,91.01,
fp32,8,23,6,91.22,
