float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,89.33,
q43,4,3,2,87.80,
q43,4,3,3,88.72,
q43,4,3,4,88.56,
q43,4,3,5,88.87,
q43,4,3,6,89.49,
q52,5,2,1,89.10,
q52,5,2,2,87.34,
q52,5,2,3,87.95,
q52,5,2,4,89.10,
q52,5,2,5,89.33,
q52,5,2,6,87.72,
"custom(5, 5)",5,5,1,88.10,
"custom(5, 5)",5,5,2,89.03,
"custom(5, 5)",5,5,3,90.02,
"custom(5, 5)",5,5,4,89.33,
"custom(5, 5)",5,5,5,89.87,
"custom(5, 5)",5,5,6,89.18,
"custom(5, 7)",5,7,1,90.41,
"custom(5, 7)",5,7,2,89.10,
"custom(5, 7)",5,7,3,90.56,
"custom(5, 7)",5,7,4,89.26,
"custom(5, 7)",5,7,5,89.26,
"custom(5, 7)",5,7,6,89.79,
"custom(8, 4)",8,4,1,89.72,
"custom(8, 4)",8,4,2,90.33,
"custom(8, 4)",8,4,3,89.41,
"custom(8, 4)",8,4,4,88.33,
"custom(8, 4)",8,4,5,89.56,
"custom(8, 4)",8,4,6,91.33,
half,5,10,1,89.26,
half,5,10,2,89.33,
half,5,10,3,88.56,
half,5,10,4,89.03,
half,5,10,5,88.41,
half,5,10,6,90.41,
bfloat16,8,7,1,90.10,
bfloat16,8,7,2,90.10,
bfloat16,8,7,3,89.03,
bfloat16,8,7,4,89.64,
bfloat16,8,7,5,88.87,
bfloat16,8,7,6,90.02,
tf32,8,10,1,88.87,
tf32,8,10,2,89.72,
tf32,8,10,3,89.26,
tf32,8,10,4,89.72,
tf32,8,10,5,89.95,
tf32,8,10,6,89.72,
fp32,8,23,1,89.56,
fp32,8,23,2,88.80,
fp32,8,23,3,89.87,
fp32,8,23,4,88.56,
fp32,8,23,5,89.87,
fp32,8,23,6,89.64,
