float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,86.81,
q43,4,3,2,86.45,
q43,4,3,3,87.14,
q43,4,3,4,87.22,
q43,4,3,5,87.11,
q43,4,3,6,86.45,
q52,5,2,1,87.46,
q52,5,2,2,80.70,
q52,5,2,3,85.94,
q52,5,2,4,86.73,
q52,5,2,5,86.62,
q52,5,2,6,86.37,
"custom(5, 5)",5,5,1,87.35,
"custom(5, 5)",5,5,2,87.19,
"custom(5, 5)",5,5,3,87.24,
"custom(5, 5)",5,5,4,87.27,
"custom(5, 5)",5,5,5,87.22,
"custom(5, 5)",5,5,6,87.30,
"custom(5, 7)",5,7,1,86.89,
"custom(5, 7)",5,7,2,86.84,
"custom(5, 7)",5,7,3,86.48,
"custom(5, 7)",5,7,4,86.75,
"custom(5, 7)",5,7,5,86.97,
"custom(5, 7)",5,7,6,87.41,
"custom(8, 4)",8,4,1,87.19,
"custom(8, 4)",8,4,2,86.70,
"custom(8, 4)",8,4,3,86.78,
"custom(8, 4)",8,4,4,86.86,
"custom(8, 4)",8,4,5,86.37,
"custom(8, 4)",8,4,6,86.62,
half,5,10,1,87.11,
half,5,10,2,87.35,
half,5,10,3,86.64,
half,5,10,4,86.51,
half,5,10,5,87.33,
half,5,10,6,86.45,
bfloat16,8,7,1,86.73,
bfloat16,8,7,2,86.94,
bfloat16,8,7,3,87.33,
bfloat16,8,7,4,86.89,
bfloat16,8,7,5,86.84,
bfloat16,8,7,6,87.19,
tf32,8,10,1,86.54,
tf32,8,10,2,87.33,
tf32,8,10,3,86.67,
tf32,8,10,4,86.48,
tf32,8,10,5,85.85,
tf32,8,10,6,86.32,
fp32,8,23,1,86.89,
fp32,8,23,2,87.35,
fp32,8,23,3,86.70,
fp32,8,23,4,87.27,
fp32,8,23,5,87.33,
fp32,8,23,6,87.54,
