float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,91.46,
q43,4,3,2,90.91,
q43,4,3,3,91.41,
q43,4,3,4,91.43,
q43,4,3,5,91.47,
q43,4,3,6,85.53,
q52,5,2,1,91.17,
q52,5,2,2,90.89,
q52,5,2,3,90.87,
q52,5,2,4,91.14,
q52,5,2,5,91.03,
q52,5,2,6,90.85,
"custom(5, 5)",5,5,1,91.30,
"custom(5, 5)",5,5,2,91.15,
"custom(5, 5)",5,5,3,91.29,
"custom(5, 5)",5,5,4,91.50,
"custom(5, 5)",5,5,5,91.04,
"custom(5, 5)",5,5,6,91.14,
"custom(5, 7)",5,7,1,91.34,
"custom(5, 7)",5,7,2,91.25,
"custom(5, 7)",5,7,3,91.46,
"custom(5, 7)",5,7,4,91.31,
"custom(5, 7)",5,7,5,91.28,
"custom(5, 7)",5,7,6,91.11,
"custom(8, 4)",8,4,1,91.30,
"custom(8, 4)",8,4,2,91.34,
"custom(8, 4)",8,4,3,91.37,
"custom(8, 4)",8,4,4,91.39,
"custom(8, 4)",8,4,5,91.38,
"custom(8, 4)",8,4,6,90.99,
half,5,10,1,91.24,
half,5,10,2,91.06,
half,5,10,3,91.49,
half,5,10,4,91.34,
half,5,10,5,91.32,
half,5,10,6,91.19,
bfloat16,8,7,1,91.34,
bfloat16,8,7,2,91.11,
bfloat16,8,7,3,91.30,
bfloat16,8,7,4,91.32,
bfloat16,8,7,5,91.45,
bfloat16,8,7,6,91.39,
tf32,8,10,1,91.24,
tf32,8,10,2,91.37,
tf32,8,10,3,91.42,
tf32,8,10,4,91.39,
tf32,8,10,5,91.21,
tf32,8,10,6,91.17,
fp32,8,23,1,91.21,
fp32,8,23,2,91.11,
fp32,8,23,3,91.25,
fp32,8,23,4,91.28,
fp32,8,23,5,91.16,
fp32,8,23,6,91.36,
