float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,98.78,
q43,4,3,2,98.70,
q43,4,3,3,98.83,
q43,4,3,4,98.85,
q43,4,3,5,98.72,
q43,4,3,6,98.32,
q52,5,2,1,98.71,
q52,5,2,2,98.67,
q52,5,2,3,98.77,
q52,5,2,4,98.76,
q52,5,2,5,98.64,
q52,5,2,6,98.67,
"custom(5, 5)",5,5,1,98.88,
"custom(5, 5)",5,5,2,98.74,
"custom(5, 5)",5,5,3,98.79,
"custom(5, 5)",5,5,4,98.60,
"custom(5, 5)",5,5,5,98.75,
"custom(5, 5)",5,5,6,98.83,
"custom(5, 7)",5,7,1,98.83,
"custom(5, 7)",5,7,2,98.70,
"custom(5, 7)",5,7,3,98.72,
"custom(5, 7)",5,7,4,98.85,
"custom(5, 7)",5,7,5,98.65,
"custom(5, 7)",5,7,6,98.78,
"custom(8, 4)",8,4,1,98.73,
"custom(8, 4)",8,4,2,98.67,
"custom(8, 4)",8,4,3,98.79,
"custom(8, 4)",8,4,4,98.72,
"custom(8, 4)",8,4,5,98.84,
"custom(8, 4)",8,4,6,98.73,
half,5,10,1,98.76,
half,5,10,2,98.65,
half,5,10,3,98.71,
half,5,10,4,98.91,
half,5,10,5,98.70,
half,5,10,6,98.70,
bfloat16,8,7,1,98.79,
bfloat16,8,7,2,98.70,
bfloat16,8,7,3,98.85,
bfloat16,8,7,4,98.68,
bfloat16,8,7,5,98.76,
bfloat16,8,7,6,98.61,
tf32,8,10,1,98.75,
tf32,8,10,2,98.63,
tf32,8,10,3,98.74,
tf32,8,10,4,98.76,
tf32,8,10,5,98.84,
tf32,8,10,6,98.64,
fp32,8,23,1,98.78,
fp32,8,23,2,98.81,
fp32,8,23,3,98.79,
fp32,8,23,4,98.83,
fp32,8,23,5,98.75,
fp32,8,23,6,98.56,
