float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,88.49,
q43,4,3,2,88.49,
q43,4,3,3,88.49,
q43,4,3,4,88.33,
q43,4,3,5,89.26,
q43,4,3,6,20.64,
q52,5,2,1,89.49,
q52,5,2,2,87.80,
q52,5,2,3,87.57,
q52,5,2,4,88.80,
q52,5,2,5,89.95,
q52,5,2,6,88.10,
"custom(5, 5)",5,5,1,89.10,
"custom(5, 5)",5,5,2,89.26,
"custom(5, 5)",5,5,3,89.72,
"custom(5, 5)",5,5,4,89.41,
"custom(5, 5)",5,5,5,90.02,
"custom(5, 5)",5,5,6,89.87,
"custom(5, 7)",5,7,1,89.18,
"custom(5, 7)",5,7,2,89.18,
"custom(5, 7)",5,7,3,89.56,
"custom(5, 7)",5,7,4,88.72,
"custom(5, 7)",5,7,5,89.18,
"custom(5, 7)",5,7,6,89.95,
"custom(8, 4)",8,4,1,90.10,
"custom(8, 4)",8,4,2,89.41,
"custom(8, 4)",8,4,3,89.41,
"custom(8, 4)",8,4,4,89.33,
"custom(8, 4)",8,4,5,89.64,
"custom(8, 4)",8,4,6,90.18,
half,5,10,1,89.87,
half,5,10,2,89.79,
half,5,10,3,88.56,
half,5,10,4,88.26,
half,5,10,5,88.72,
half,5,10,6,90.33,
bfloat16,8,7,1,91.56,
bfloat16,8,7,2,88.95,
bfloat16,8,7,3,89.33,
bfloat16,8,7,4,89.26,
bfloat16,8,7,5,90.02,
bfloat16,8,7,6,89.10,
tf32,8,10,1,88.95,
tf32,8,10,2,89.33,
tf32,8,10,3,89.64,
tf32,8,10,4,89.56,
tf32,8,10,5,89.10,
tf32,8,10,6,89.26,
fp32,8,23,1,88.72,
fp32,8,23,2,89.95,
fp32,8,23,3,90.10,
fp32,8,23,4,88.33,
fp32,8,23,5,89.87,
fp32,8,23,6,89.87,
