float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,87.08,
q43,4,3,2,86.37,
q43,4,3,3,86.92,
q43,4,3,4,87.00,
q43,4,3,5,87.49,
q43,4,3,6,6.73,
q52,5,2,1,86.92,
q52,5,2,2,84.00,
q52,5,2,3,85.96,
q52,5,2,4,86.94,
q52,5,2,5,85.66,
q52,5,2,6,84.98,
"custom(5, 5)",5,5,1,87.05,
"custom(5, 5)",5,5,2,86.56,
"custom(5, 5)",5,5,3,86.89,
"custom(5, 5)",5,5,4,87.22,
"custom(5, 5)",5,5,5,86.97,
"custom(5, 5)",5,5,6,87.22,
"custom(5, 7)",5,7,1,86.48,
"custom(5, 7)",5,7,2,87.05,
"custom(5, 7)",5,7,3,86.40,
"custom(5, 7)",5,7,4,87.24,
"custom(5, 7)",5,7,5,87.22,
"custom(5, 7)",5,7,6,87.00,
"custom(8, 4)",8,4,1,87.24,
"custom(8, 4)",8,4,2,86.67,
"custom(8, 4)",8,4,3,87.24,
"custom(8, 4)",8,4,4,86.70,
"custom(8, 4)",8,4,5,86.18,
"custom(8, 4)",8,4,6,86.40,
half,5,10,1,86.78,
half,5,10,2,87.00,
half,5,10,3,86.64,
half,5,10,4,86.81,
half,5,10,5,86.97,
half,5,10,6,86.97,
bfloat16,8,7,1,86.32,
bfloat16,8,7,2,85.88,
bfloat16,8,7,3,87.00,
bfloat16,8,7,4,86.92,
bfloat16,8,7,5,87.27,
bfloat16,8,7,6,86.81,
tf32,8,10,1,87.08,
tf32,8,10,2,86.78,
tf32,8,10,3,87.24,
tf32,8,10,4,86.62,
tf32,8,10,5,86.56,
tf32,8,10,6,86.86,
fp32,8,23,1,86.59,
fp32,8,23,2,86.73,
fp32,8,23,3,86.48,
fp32,8,23,4,86.89,
fp32,8,23,5,86.94,
fp32,8,23,6,87.14,
