Mode,Rounding,Mean Latency (ms),Std Latency (ms),mAP@0.5:0.95,Weight_MSE,Feature_SQNR_dB
FP32 (reference),1,117.08,19.49,0.422,0.000000,100.00
q43,1,114.74,14.43,0.421,0.00000118,20.97
q52,1,115.28,14.33,0.406,0.00000365,15.72
"Custom(5, 5)",1,114.50,14.48,0.429,0.00000007,31.10
"Custom(5, 7)",1,113.95,14.32,0.423,0.00000000,46.63
"Custom(8, 4)",1,113.62,14.40,0.418,0.00000027,26.27
bfloat16,1,113.39,14.33,0.423,0.00000000,46.63
tf32,1,113.60,14.34,0.422,0.00000000,62.72
half,1,113.36,14.29,0.422,0.00000000,62.72
FP32,1,113.39,14.33,0.422,0.00000000,131.37
q43,2,105.66,14.33,0.000,0.00000468,-inf
q52,2,107.97,14.43,0.000,0.00001440,-56.95
"Custom(5, 5)",2,113.30,14.36,0.171,0.00000024,5.00
"Custom(5, 7)",2,113.31,14.38,0.418,0.00000002,17.40
"Custom(8, 4)",2,113.21,14.36,0.007,0.00000090,-2.04
bfloat16,2,113.39,14.34,0.418,0.00000002,17.40
tf32,2,113.31,14.38,0.424,0.00000000,35.83
half,2,113.37,14.34,0.424,0.00000000,35.83
FP32,2,113.48,14.36,0.422,0.00000000,131.38
q43,3,105.69,14.33,0.000,0.00000455,-99.59
q52,3,112.52,14.28,0.000,0.00001667,2.26
"Custom(5, 5)",3,113.31,14.36,0.330,0.00000024,8.55
"Custom(5, 7)",3,113.36,14.40,0.419,0.00000002,18.68
"Custom(8, 4)",3,113.25,14.39,0.128,0.00000097,5.47
bfloat16,3,113.28,14.38,0.419,0.00000002,18.68
tf32,3,113.33,14.29,0.420,0.00000000,35.92
half,3,113.31,14.38,0.420,0.00000000,35.92
FP32,3,113.46,14.33,0.422,0.00000000,130.17
q43,4,113.29,14.34,0.205,0.00000420,7.42
q52,4,112.96,14.28,0.000,0.00001519,4.57
"Custom(5, 5)",4,113.22,14.35,0.401,0.00000024,18.76
"Custom(5, 7)",4,113.28,14.35,0.415,0.00000002,30.99
"Custom(8, 4)",4,113.32,14.38,0.365,0.00000092,13.21
bfloat16,4,113.26,14.39,0.415,0.00000002,30.99
tf32,4,113.25,14.36,0.422,0.00000000,48.31
half,4,113.20,14.37,0.422,0.00000000,48.31
FP32,4,113.37,14.28,0.422,0.00000000,130.16
q43,5,113.32,14.38,0.407,0.00000240,18.64
q52,5,113.30,14.33,0.373,0.00000653,12.89
"Custom(5, 5)",5,113.25,14.34,0.427,0.00000014,31.49
"Custom(5, 7)",5,113.29,14.36,0.423,0.00000001,41.96
"Custom(8, 4)",5,113.31,14.36,0.417,0.00000060,20.55
bfloat16,5,113.37,14.37,0.424,0.00000001,40.34
tf32,5,113.37,14.38,0.422,0.00000000,60.51
half,5,113.40,14.39,0.422,0.00000000,60.41
FP32,5,113.35,14.37,0.422,0.00000000,130.16
q43,6,105.70,14.35,0.000,0.00000484,-157.53
q52,6,113.18,14.35,0.334,0.00001719,9.23
"Custom(5, 5)",6,113.24,14.37,0.413,0.00000024,27.55
"Custom(5, 7)",6,113.29,14.33,0.421,0.00000001,39.01
"Custom(8, 4)",6,113.32,14.36,0.423,0.00000089,20.28
bfloat16,6,113.28,14.37,0.422,0.00000001,39.35
tf32,6,113.43,14.44,0.422,0.00000000,57.28
half,6,113.32,14.35,0.422,0.00000000,56.45
FP32,6,113.46,14.42,0.422,0.00000000,122.36
