float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,91.36,
q43,4,3,2,91.14,
q43,4,3,3,91.39,
q43,4,3,4,91.31,
q43,4,3,5,91.30,
q43,4,3,6,91.19,
q52,5,2,1,91.08,
q52,5,2,2,91.34,
q52,5,2,3,91.09,
q52,5,2,4,90.91,
q52,5,2,5,91.01,
q52,5,2,6,90.76,
"custom(5, 5)",5,5,1,91.21,
"custom(5, 5)",5,5,2,91.21,
"custom(5, 5)",5,5,3,91.26,
"custom(5, 5)",5,5,4,91.43,
"custom(5, 5)",5,5,5,91.57,
"custom(5, 5)",5,5,6,91.33,
"custom(5, 7)",5,7,1,91.32,
"custom(5, 7)",5,7,2,91.40,
"custom(5, 7)",5,7,3,91.29,
"custom(5, 7)",5,7,4,91.45,
"custom(5, 7)",5,7,5,91.38,
"custom(5, 7)",5,7,6,91.37,
"custom(8, 4)",8,4,1,91.54,
"custom(8, 4)",8,4,2,91.28,
"custom(8, 4)",8,4,3,91.20,
"custom(8, 4)",8,4,4,91.46,
"custom(8, 4)",8,4,5,91.22,
"custom(8, 4)",8,4,6,91.19,
half,5,10,1,91.31,
half,5,10,2,91.25,
half,5,10,3,91.71,
half,5,10,4,91.37,
half,5,10,5,91.29,
half,5,10,6,91.44,
bfloat16,8,7,1,91.58,
bfloat16,8,7,2,91.22,
bfloat16,8,7,3,91.39,
bfloat16,8,7,4,91.14,
bfloat16,8,7,5,91.70,
bfloat16,8,7,6,91.26,
tf32,8,10,1,91.49,
tf32,8,10,2,91.42,
tf32,8,10,3,91.41,
tf32,8,10,4,91.26,
tf32,8,10,5,91.22,
tf32,8,10,6,91.15,
fp32,8,23,1,91.52,
fp32,8,23,2,91.32,
fp32,8,23,3,91.32,
fp32,8,23,4,91.31,
fp32,8,23,5,91.04,
fp32,8,23,6,91.50,
