float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,99.30,
q43,4,3,2,99.25,
q43,4,3,3,99.23,
q43,4,3,4,99.28,
q43,4,3,5,99.36,
q43,4,3,6,99.35,
q52,5,2,1,99.31,
q52,5,2,2,99.23,
q52,5,2,3,99.31,
q52,5,2,4,99.19,
q52,5,2,5,99.40,
q52,5,2,6,99.25,
"custom(5, 5)",5,5,1,99.31,
"custom(5, 5)",5,5,2,99.34,
"custom(5, 5)",5,5,3,99.38,
"custom(5, 5)",5,5,4,99.17,
"custom(5, 5)",5,5,5,99.23,
"custom(5, 5)",5,5,6,99.30,
"custom(5, 7)",5,7,1,99.40,
"custom(5, 7)",5,7,2,99.21,
"custom(5, 7)",5,7,3,99.15,
"custom(5, 7)",5,7,4,99.34,
"custom(5, 7)",5,7,5,99.35,
"custom(5, 7)",5,7,6,99.30,
"custom(8, 4)",8,4,1,99.25,
"custom(8, 4)",8,4,2,99.28,
"custom(8, 4)",8,4,3,99.26,
"custom(8, 4)",8,4,4,99.25,
"custom(8, 4)",8,4,5,99.23,
"custom(8, 4)",8,4,6,99.38,
half,5,10,1,99.30,
half,5,10,2,99.32,
half,5,10,3,99.35,
half,5,10,4,99.41,
half,5,10,5,99.32,
half,5,10,6,99.22,
bfloat16,8,7,1,99.20,
bfloat16,8,7,2,99.33,
bfloat16,8,7,3,99.32,
bfloat16,8,7,4,99.36,
bfloat16,8,7,5,99.21,
bfloat16,8,7,6,99.21,
tf32,8,10,1,99.23,
tf32,8,10,2,99.44,
tf32,8,10,3,99.34,
tf32,8,10,4,99.30,
tf32,8,10,5,99.22,
tf32,8,10,6,99.36,
fp32,8,23,1,99.26,
fp32,8,23,2,99.33,
fp32,8,23,3,99.25,
fp32,8,23,4,99.27,
fp32,8,23,5,99.27,
fp32,8,23,6,99.26,
