Dataset,Format,Exp_Bits,Sig_Bits,Rounding_Mode,Accuracy,Weight_MSE,Activation_SQNR_dB
MNIST,q43,4,3,1,99.5600,0.00236018,21.2549
MNIST,q43,4,3,1,99.5600,0.00236018,21.2549
MNIST,q43,4,3,2,8.9200,0.00864856,-26.8425
MNIST,q43,4,3,3,80.0800,0.01056880,2.9025
MNIST,q43,4,3,4,99.5900,0.00872605,13.7527
MNIST,q43,4,3,5,99.5600,0.00534419,21.8609
MNIST,q43,4,3,6,99.5400,0.00948004,21.5073
MNIST,q52,5,2,1,99.5700,0.00944068,15.4539
MNIST,q52,5,2,2,8.9200,0.03643104,-49.5943
MNIST,q52,5,2,3,10.2400,0.04050656,0.4898
MNIST,q52,5,2,4,99.5400,0.03451196,11.0949
MNIST,q52,5,2,5,99.5000,0.02028798,14.1665
MNIST,q52,5,2,6,99.4400,0.03839550,14.8545
MNIST,"custom(5, 5)",5,5,1,99.5800,0.00015325,36.8091
MNIST,"custom(5, 5)",5,5,2,99.4700,0.00058195,10.1922
MNIST,"custom(5, 5)",5,5,3,99.5300,0.00059467,8.4833
MNIST,"custom(5, 5)",5,5,4,99.6600,0.00057509,24.3873
MNIST,"custom(5, 5)",5,5,5,99.5900,0.00034100,34.4565
MNIST,"custom(5, 5)",5,5,6,99.5800,0.00058172,30.8958
MNIST,"custom(5, 7)",5,7,1,99.5800,0.00001010,46.7711
MNIST,"custom(5, 7)",5,7,2,99.5800,0.00003509,19.6774
MNIST,"custom(5, 7)",5,7,3,99.6500,0.00003754,17.6471
MNIST,"custom(5, 7)",5,7,4,99.6200,0.00003793,36.4466
MNIST,"custom(5, 7)",5,7,5,99.6000,0.00002020,45.4249
MNIST,"custom(5, 7)",5,7,6,99.5800,0.00003627,42.1113
MNIST,"custom(8, 4)",8,4,1,99.6100,0.00057228,30.9046
MNIST,"custom(8, 4)",8,4,2,87.0500,0.00252434,4.0224
MNIST,"custom(8, 4)",8,4,3,99.2500,0.00227093,7.7285
MNIST,"custom(8, 4)",8,4,4,99.6300,0.00248197,19.4586
MNIST,"custom(8, 4)",8,4,5,99.6100,0.00113679,27.0959
MNIST,"custom(8, 4)",8,4,6,99.5600,0.00255141,23.5427
MNIST,half,5,10,1,99.5900,0.00000013,66.4075
MNIST,half,5,10,2,99.5900,0.00000052,36.6222
MNIST,half,5,10,3,99.6200,0.00000068,36.4014
MNIST,half,5,10,4,99.5900,0.00000059,52.9462
MNIST,half,5,10,5,99.5800,0.00000029,62.0674
MNIST,half,5,10,6,99.5800,0.00000055,58.2975
MNIST,bfloat16,8,7,1,99.5800,0.00001010,46.7723
MNIST,bfloat16,8,7,2,99.5800,0.00003509,19.6774
MNIST,bfloat16,8,7,3,99.6500,0.00003754,17.6471
MNIST,bfloat16,8,7,4,99.6200,0.00003793,36.4466
MNIST,bfloat16,8,7,5,99.6000,0.00002020,45.4236
MNIST,bfloat16,8,7,6,99.5800,0.00003627,42.1111
MNIST,tf32,8,10,1,99.5900,0.00000013,66.3959
MNIST,tf32,8,10,2,99.5900,0.00000052,36.6222
MNIST,tf32,8,10,3,99.6200,0.00000068,36.4011
MNIST,tf32,8,10,4,99.5900,0.00000059,52.9457
MNIST,tf32,8,10,5,99.5800,0.00000029,62.0664
MNIST,tf32,8,10,6,99.5800,0.00000055,58.2972
MNIST,fp32,8,23,1,99.5800,0.00000000,100.0000
MNIST,fp32,8,23,2,99.5800,0.00000000,100.0000
MNIST,fp32,8,23,3,99.5800,0.00000000,100.0000
MNIST,fp32,8,23,4,99.5800,0.00000000,100.0000
MNIST,fp32,8,23,5,99.5800,0.00000000,100.0000
MNIST,fp32,8,23,6,99.5800,0.00000000,77.5335
FashionMNIST,q43,4,3,1,91.5300,0.00201831,23.5519
FashionMNIST,q43,4,3,2,9.9100,0.00822042,-16.8348
FashionMNIST,q43,4,3,3,44.4500,0.00899631,2.0586
FashionMNIST,q43,4,3,4,91.0600,0.00725357,9.7348
FashionMNIST,q43,4,3,5,90.9100,0.00437422,14.6656
FashionMNIST,q43,4,3,6,90.6200,0.00837030,14.7304
FashionMNIST,q52,5,2,1,90.3900,0.00850258,14.0853
FashionMNIST,q52,5,2,2,10.0000,0.03299077,-41.5065
FashionMNIST,q52,5,2,3,17.1200,0.03513199,0.8743
FashionMNIST,q52,5,2,4,90.5000,0.02843026,7.8135
FashionMNIST,q52,5,2,5,89.4400,0.01645844,11.4977
FashionMNIST,q52,5,2,6,88.5700,0.03408984,9.8922
FashionMNIST,"custom(5, 5)",5,5,1,91.6300,0.00012636,35.3273
FashionMNIST,"custom(5, 5)",5,5,2,88.2000,0.00055103,8.4859
FashionMNIST,"custom(5, 5)",5,5,3,89.9200,0.00051145,6.1170
FashionMNIST,"custom(5, 5)",5,5,4,91.7300,0.00053830,19.2726
FashionMNIST,"custom(5, 5)",5,5,5,91.7100,0.00026941,32.8648
FashionMNIST,"custom(5, 5)",5,5,6,91.5700,0.00051923,28.6389
FashionMNIST,"custom(5, 7)",5,7,1,91.6900,0.00000875,44.3981
FashionMNIST,"custom(5, 7)",5,7,2,91.3000,0.00003135,18.5653
FashionMNIST,"custom(5, 7)",5,7,3,91.6600,0.00003375,14.5933
FashionMNIST,"custom(5, 7)",5,7,4,91.7100,0.00003254,31.7629
FashionMNIST,"custom(5, 7)",5,7,5,91.6900,0.00001883,42.0373
FashionMNIST,"custom(5, 7)",5,7,6,91.6500,0.00002883,38.7402
FashionMNIST,"custom(8, 4)",8,4,1,91.6700,0.00050206,26.1845
FashionMNIST,"custom(8, 4)",8,4,2,73.9000,0.00198856,2.2024
FashionMNIST,"custom(8, 4)",8,4,3,81.7600,0.00230074,4.7507
FashionMNIST,"custom(8, 4)",8,4,4,91.7100,0.00195026,14.4496
FashionMNIST,"custom(8, 4)",8,4,5,91.3700,0.00097817,23.7759
FashionMNIST,"custom(8, 4)",8,4,6,91.4800,0.00204793,20.7806
FashionMNIST,half,5,10,1,91.7100,0.00000013,64.1051
FashionMNIST,half,5,10,2,91.6000,0.00000050,34.6184
FashionMNIST,half,5,10,3,91.6700,0.00000053,34.7996
FashionMNIST,half,5,10,4,91.6900,0.00000051,50.4580
FashionMNIST,half,5,10,5,91.7100,0.00000028,59.9543
FashionMNIST,half,5,10,6,91.6800,0.00000049,55.3357
FashionMNIST,bfloat16,8,7,1,91.6900,0.00000875,44.3992
FashionMNIST,bfloat16,8,7,2,91.3000,0.00003135,18.5653
FashionMNIST,bfloat16,8,7,3,91.6600,0.00003375,14.5934
FashionMNIST,bfloat16,8,7,4,91.7100,0.00003254,31.7627
FashionMNIST,bfloat16,8,7,5,91.6900,0.00001883,42.0379
FashionMNIST,bfloat16,8,7,6,91.6500,0.00002883,38.7401
FashionMNIST,tf32,8,10,1,91.7100,0.00000013,64.1049
FashionMNIST,tf32,8,10,2,91.6000,0.00000050,34.6182
FashionMNIST,tf32,8,10,3,91.6700,0.00000053,34.8001
FashionMNIST,tf32,8,10,4,91.6900,0.00000051,50.4595
FashionMNIST,tf32,8,10,5,91.7100,0.00000028,59.9591
FashionMNIST,tf32,8,10,6,91.6800,0.00000049,55.3378
FashionMNIST,fp32,8,23,1,91.7100,0.00000000,100.0000
FashionMNIST,fp32,8,23,2,91.7100,0.00000000,100.0000
FashionMNIST,fp32,8,23,3,91.7100,0.00000000,100.0000
FashionMNIST,fp32,8,23,4,91.7100,0.00000000,100.0000
FashionMNIST,fp32,8,23,5,91.7100,0.00000000,100.0000
FashionMNIST,fp32,8,23,6,91.7100,0.00000000,77.1998
Caltech101,q43,4,3,1,91.3277,0.00184321,21.8490
Caltech101,q43,4,3,2,10.4375,0.00817129,-29.2533
Caltech101,q43,4,3,3,0.9210,0.00773270,7.0210
Caltech101,q43,4,3,4,90.7137,0.00760385,14.2542
Caltech101,q43,4,3,5,91.2510,0.00420254,19.5444
Caltech101,q43,4,3,6,89.1788,0.00706659,15.0099
Caltech101,q52,5,2,1,89.1788,0.00715114,16.6231
Caltech101,q52,5,2,2,7.8281,0.03224245,-68.1500
Caltech101,q52,5,2,3,1.0744,0.03170023,1.2146
Caltech101,q52,5,2,4,82.6554,0.03006092,6.5321
Caltech101,q52,5,2,5,88.1044,0.01475107,14.1909
Caltech101,q52,5,2,6,79.0483,0.02875806,10.0188
Caltech101,"custom(5, 5)",5,5,1,91.7114,0.00011906,32.7565
Caltech101,"custom(5, 5)",5,5,2,78.5111,0.00049408,5.3355
Caltech101,"custom(5, 5)",5,5,3,89.1788,0.00047975,11.4090
Caltech101,"custom(5, 5)",5,5,4,91.6347,0.00050329,20.2409
Caltech101,"custom(5, 5)",5,5,5,91.8649,0.00026519,29.9398
Caltech101,"custom(5, 5)",5,5,6,91.8649,0.00045151,27.7921
Caltech101,"custom(5, 7)",5,7,1,91.9417,0.00000848,43.4327
Caltech101,"custom(5, 7)",5,7,2,90.0998,0.00002998,17.9208
Caltech101,"custom(5, 7)",5,7,3,91.7882,0.00002959,21.1483
Caltech101,"custom(5, 7)",5,7,4,91.7114,0.00003168,32.8477
Caltech101,"custom(5, 7)",5,7,5,91.7882,0.00001527,41.3300
Caltech101,"custom(5, 7)",5,7,6,91.8649,0.00003093,39.1228
Caltech101,"custom(8, 4)",8,4,1,91.6347,0.00042995,26.3608
Caltech101,"custom(8, 4)",8,4,2,53.1850,0.00202204,-3.6686
Caltech101,"custom(8, 4)",8,4,3,53.9524,0.00196810,5.5504
Caltech101,"custom(8, 4)",8,4,4,91.4812,0.00203227,15.6547
Caltech101,"custom(8, 4)",8,4,5,91.5579,0.00108423,26.1300
Caltech101,"custom(8, 4)",8,4,6,91.2510,0.00188280,21.4158
Caltech101,half,5,10,1,91.9417,0.00000011,63.5002
Caltech101,half,5,10,2,91.7882,0.00000049,37.3821
Caltech101,half,5,10,3,91.9417,0.00000048,37.7529
Caltech101,half,5,10,4,91.9417,0.00000047,49.9463
Caltech101,half,5,10,5,91.9417,0.00000022,59.1254
Caltech101,half,5,10,6,91.9417,0.00000049,54.9771
Caltech101,bfloat16,8,7,1,91.9417,0.00000848,43.4303
Caltech101,bfloat16,8,7,2,90.0998,0.00002998,17.9211
Caltech101,bfloat16,8,7,3,91.8649,0.00002959,21.1479
Caltech101,bfloat16,8,7,4,91.7114,0.00003168,32.8489
Caltech101,bfloat16,8,7,5,91.7882,0.00001527,41.3298
Caltech101,bfloat16,8,7,6,91.8649,0.00003093,39.1267
Caltech101,tf32,8,10,1,91.9417,0.00000011,63.5695
Caltech101,tf32,8,10,2,91.7882,0.00000049,37.3836
Caltech101,tf32,8,10,3,91.9417,0.00000048,37.7538
Caltech101,tf32,8,10,4,91.9417,0.00000047,49.9389
Caltech101,tf32,8,10,5,91.9417,0.00000022,59.1235
Caltech101,tf32,8,10,6,91.9417,0.00000049,54.9872
Caltech101,fp32,8,23,1,91.9417,0.00000000,100.0000
Caltech101,fp32,8,23,2,91.9417,0.00000000,100.0000
Caltech101,fp32,8,23,3,91.9417,0.00000000,100.0000
Caltech101,fp32,8,23,4,91.9417,0.00000000,100.0000
Caltech101,fp32,8,23,5,91.9417,0.00000000,100.0000
Caltech101,fp32,8,23,6,91.9417,0.00000000,77.6805
OxfordIIITPet,q43,4,3,1,89.9155,0.00192076,17.7316
OxfordIIITPet,q43,4,3,2,2.7800,0.00729419,-42.1221
OxfordIIITPet,q43,4,3,3,2.2895,0.00784729,-10.5869
OxfordIIITPet,q43,4,3,4,89.5067,0.00762751,13.6626
OxfordIIITPet,q43,4,3,5,90.2153,0.00382008,15.3691
OxfordIIITPet,q43,4,3,6,86.7539,0.00780439,9.0454
OxfordIIITPet,q52,5,2,1,89.2886,0.00791915,13.3180
OxfordIIITPet,q52,5,2,2,2.7255,0.03189906,-75.8736
OxfordIIITPet,q52,5,2,3,2.2895,0.02817928,-7.2711
OxfordIIITPet,q52,5,2,4,75.5247,0.02640696,7.6249
OxfordIIITPet,q52,5,2,5,85.4456,0.01692228,10.2729
OxfordIIITPet,q52,5,2,6,67.1028,0.02770461,1.0619
OxfordIIITPet,"custom(5, 5)",5,5,1,90.9240,0.00010677,28.2115
OxfordIIITPet,"custom(5, 5)",5,5,2,77.3235,0.00040675,1.4187
OxfordIIITPet,"custom(5, 5)",5,5,3,88.5255,0.00056423,11.4651
OxfordIIITPet,"custom(5, 5)",5,5,4,90.8967,0.00052922,24.1223
OxfordIIITPet,"custom(5, 5)",5,5,5,90.6787,0.00021196,25.1009
OxfordIIITPet,"custom(5, 5)",5,5,6,90.5151,0.00047726,20.8537
OxfordIIITPet,"custom(5, 7)",5,7,1,90.8967,0.00000657,43.8181
