Dataset,Format,Exp_Bits,Sig_Bits,Rounding_Mode,Accuracy,Weight_MSE,Activation_SQNR_dB
MNIST,q43,4,3,5,99.5600,0.00534419,21.8609
MNIST,q43,4,3,6,99.5400,0.00948004,21.5073
MNIST,q52,5,2,5,99.5000,0.02028798,14.1665
MNIST,q52,5,2,6,99.4400,0.03839550,14.8545
MNIST,"custom(5, 5)",5,5,5,99.5900,0.00034100,34.4565
MNIST,"custom(5, 5)",5,5,6,99.5800,0.00058172,30.8958
MNIST,"custom(5, 7)",5,7,5,99.6000,0.00002020,45.4249
MNIST,"custom(5, 7)",5,7,6,99.5800,0.00003627,42.1113
MNIST,"custom(8, 4)",8,4,5,99.6100,0.00113679,27.0959
MNIST,"custom(8, 4)",8,4,6,99.5600,0.00255141,23.5427
MNIST,half,5,10,5,99.5800,0.00000029,62.0674
MNIST,half,5,10,6,99.5800,0.00000055,58.2975
MNIST,bfloat16,8,7,5,99.6000,0.00002020,45.4236
MNIST,bfloat16,8,7,6,99.5800,0.00003627,42.1111
MNIST,tf32,8,10,5,99.5800,0.00000029,62.0664
MNIST,tf32,8,10,6,99.5800,0.00000055,58.2972
MNIST,fp32,8,23,5,99.5800,0.00000000,100.0000
MNIST,fp32,8,23,6,99.5800,0.00000000,77.5335
FashionMNIST,q43,4,3,5,90.9100,0.00437422,14.6656
FashionMNIST,q43,4,3,6,90.6200,0.00837030,14.7304
FashionMNIST,q52,5,2,5,89.4400,0.01645844,11.4977
FashionMNIST,q52,5,2,6,88.5700,0.03408984,9.8922
FashionMNIST,"custom(5, 5)",5,5,5,91.7100,0.00026941,32.8648
FashionMNIST,"custom(5, 5)",5,5,6,91.5700,0.00051923,28.6389
FashionMNIST,"custom(5, 7)",5,7,5,91.6900,0.00001883,42.0373
FashionMNIST,"custom(5, 7)",5,7,6,91.6500,0.00002883,38.7402
FashionMNIST,"custom(8, 4)",8,4,5,91.3700,0.00097817,23.7759
FashionMNIST,"custom(8, 4)",8,4,6,91.4800,0.00204793,20.7806
FashionMNIST,half,5,10,5,91.7100,0.00000028,59.9543
FashionMNIST,half,5,10,6,91.6800,0.00000049,55.3357
FashionMNIST,bfloat16,8,7,5,91.6900,0.00001883,42.0379
FashionMNIST,bfloat16,8,7,6,91.6500,0.00002883,38.7401
FashionMNIST,tf32,8,10,5,91.7100,0.00000028,59.9591
FashionMNIST,tf32,8,10,6,91.6800,0.00000049,55.3378
FashionMNIST,fp32,8,23,5,91.7100,0.00000000,100.0000
FashionMNIST,fp32,8,23,6,91.7100,0.00000000,77.1998
Caltech101,q43,4,3,5,91.2510,0.00420254,19.5444
Caltech101,q43,4,3,6,89.1788,0.00706659,15.0099
Caltech101,q52,5,2,5,88.1044,0.01475107,14.1909
Caltech101,q52,5,2,6,79.0483,0.02875806,10.0188
Caltech101,"custom(5, 5)",5,5,5,91.8649,0.00026519,29.9398
Caltech101,"custom(5, 5)",5,5,6,91.8649,0.00045151,27.7921
Caltech101,"custom(5, 7)",5,7,5,91.7882,0.00001527,41.3300
Caltech101,"custom(5, 7)",5,7,6,91.8649,0.00003093,39.1228
Caltech101,"custom(8, 4)",8,4,5,91.5579,0.00108423,26.1300
Caltech101,"custom(8, 4)",8,4,6,91.2510,0.00188280,21.4158
Caltech101,half,5,10,5,91.9417,0.00000022,59.1254
Caltech101,half,5,10,6,91.9417,0.00000049,54.9771
Caltech101,bfloat16,8,7,5,91.7882,0.00001527,41.3298
Caltech101,bfloat16,8,7,6,91.8649,0.00003093,39.1267
Caltech101,tf32,8,10,5,91.9417,0.00000022,59.1235
Caltech101,tf32,8,10,6,91.9417,0.00000049,54.9872
Caltech101,fp32,8,23,5,91.9417,0.00000000,100.0000
Caltech101,fp32,8,23,6,91.9417,0.00000000,77.6805
OxfordIIITPet,q43,4,3,5,90.2153,0.00382008,15.3691
OxfordIIITPet,q43,4,3,6,86.7539,0.00780439,9.0454
OxfordIIITPet,q52,5,2,5,85.4456,0.01692228,10.2729
OxfordIIITPet,q52,5,2,6,67.1028,0.02770461,1.0619
OxfordIIITPet,"custom(5, 5)",5,5,5,90.6787,0.00021196,25.1009
OxfordIIITPet,"custom(5, 5)",5,5,6,90.5151,0.00047726,20.8537
OxfordIIITPet,"custom(5, 7)",5,7,5,91.0057,0.00001277,39.3116
OxfordIIITPet,"custom(5, 7)",5,7,6,90.9785,0.00002999,33.7300
OxfordIIITPet,"custom(8, 4)",8,4,5,90.8149,0.00096036,20.8491
OxfordIIITPet,"custom(8, 4)",8,4,6,90.1063,0.00179650,16.3629
OxfordIIITPet,half,5,10,5,90.8967,0.00000025,55.5923
OxfordIIITPet,half,5,10,6,90.8422,0.00000044,51.3322
OxfordIIITPet,bfloat16,8,7,5,91.0057,0.00001277,39.3103
OxfordIIITPet,bfloat16,8,7,6,90.9785,0.00002999,33.7310
OxfordIIITPet,tf32,8,10,5,90.8967,0.00000025,55.5987
OxfordIIITPet,tf32,8,10,6,90.8422,0.00000044,51.3323
OxfordIIITPet,fp32,8,23,5,90.8967,0.00000000,100.0000
OxfordIIITPet,fp32,8,23,6,90.8967,0.00000000,75.1379
