size,backend,mode,time
2000,numpy,native,0.31900518387556076
2000,numpy,emulated,0.5186159064372381
2000,jax,native,0.0248371884226799
2000,jax,emulated,0.1904462625583013
2000,torch,native,0.030431016037861507
2000,torch,emulated,0.049285683780908585
4000,numpy,native,0.3404796893397967
4000,numpy,emulated,0.5094198485215505
4000,jax,native,0.07764760901530583
4000,jax,emulated,0.22800700614849725
4000,torch,native,0.11872995148102443
4000,torch,emulated,0.1558640773097674
6000,numpy,native,0.5290996146698793
6000,numpy,emulated,0.937276570747296
6000,jax,native,0.15676249315341315
6000,jax,emulated,0.2741457310815652
6000,torch,native,0.2889399938285351
6000,torch,emulated,0.31661996617913246
8000,numpy,native,1.1882242684563
8000,numpy,emulated,1.6856895809372265
8000,jax,native,0.26510454962650937
8000,jax,emulated,0.32782697801788646
8000,torch,native,0.5628132248918215
8000,torch,emulated,0.5988920045395693
