size,backend,mode,time
2000,numpy,native,0.20595047731573382
2000,numpy,emulated,0.4700252633386602
2000,jax,native,0.02287952633923851
2000,jax,emulated,0.18754905399206714
2000,torch,native,0.023851741667992126
2000,torch,emulated,0.04371686099329963
4000,numpy,native,0.2936237606724414
4000,numpy,emulated,0.5165390116647662
4000,jax,native,0.07782430900260806
4000,jax,emulated,0.22145920466088378
4000,torch,native,0.16568452034456035
4000,torch,emulated,0.20488660332436362
6000,numpy,native,0.6151147083340524
6000,numpy,emulated,1.0006247323278028
6000,jax,native,0.1525432129856199
6000,jax,emulated,0.2636720089940354
6000,torch,native,0.44450365332886577
6000,torch,emulated,0.4842234600024919
8000,numpy,native,1.411096129003757
8000,numpy,emulated,1.9262943880069845
8000,jax,native,0.26307717501185834
8000,jax,emulated,0.3679671893381358
8000,torch,native,0.951414928334998
8000,torch,emulated,0.9664603630080819
